"","x"
"64","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"65","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"66","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"67","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"68","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"69","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"70","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"71","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"72","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"73","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"74","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"75","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"76","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"77","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"78","女友刚才坐在男友身上，深情款款的问交往了三年了男友：“如果我们以后分手了，你会来参加我的婚礼吗？”男友：“那要看我上不上班了，上班忙就不去了。”"
"79","虾开车看到龙走在马路中间急忙按喇叭但还是撞到了龙，虾看了看龙好像挺面熟的于是问道：“hi，你龙吧？”龙看了看虾也问道：“你虾吧？”后来他们打起来了。"
"80","今天在路上看到一起车祸，一家人全撞死了，只剩下一个孩子，孩子声涕俱下，我刚报完警，旁边的剧组人员嫌我多事把我打了一顿。"
"81","有一小偷把我的国产山寨手机偷走，被我发现，我就追，追的途中从小偷身上掉下一个iphone，我捡起来就往回跑，小偷发现之后又到回来追我。可惜我跑得快，他没追到！"
"82","a：“知道最多人过的节日是哪个吗？”b：“春节？”a：“不是！ ”b：“那你说是什么节日？”a：“其实是清明节，不止活人过，死人也过！ ”"
"83","我叫胡一多，谁能帮我做一首藏头诗？最佳答案：胡椒面一斤多少钱"
"84","一天，古玩店的老板在店门口贴出一张告示：“本店已易主。”可是，人们依旧看见他还在店里卖东西。有人奇怪地问：“老板，您不是已经把店卖给别人了吗?”店主说：“没有，是我结婚了。”"
"85","孔子过泰山，见一妇人坐在路边哭，孔子问她：你为什么哭？妇人答：我丈夫被老虎吃了，我儿子也被老虎吃了，我女儿被老虎吃了，我舅舅被老虎吃了……孔子回头对学生们说：你们记住，以后路上看见女的哭，别乱打听。"
"86","刚买了两斤小西红柿，没走几步袋儿就漏了，结果小西红柿散落一地。正头疼时，空中飞来俩塑料袋，我选了个大小正合适的抓下来。北京真好。。。"
"87","爸爸开着电视机在沙发上打呼噜。“爸，你不看我关掉了。”“看１“你明明闭着眼。”“我在听１"
"88","客车司机：你是做什么的？货车司机：我是做物流的。货车司机：那你是做什么的？客车司机：我是做……人流……的！"
"89","一群sb在讨论谁是sb中的2b，大家都争着说自已是，最后他人找到一家精神病院的院长。。。院长说：“你们每个人先交300元。”大家都交了，院长说：“你们都是。”"
"90","“像你这样的人才，去浇菜最适合不过了。”“呵呵，你是取笑我长的像菜农？”“不，我是说大粪很有营养。”"
"91","冰淇淋店里，服务员端来一杯柠檬水，问：“先生，要吃点什么？”我喝了口水，打开菜单翻看着，抬头问她：“有刀削面吗？”她先是一脸诧异，然后不客气地说：“这里不是山西面馆１我忙堆笑说：“不好意思，进错店了。”说完走了出来，感觉没有刚才那么口渴了。"
"92","刘备、关羽、张飞顶风冒雪，三顾茅庐，不见不息，其诚可鉴天地。这个故事告诉我们一个深刻地道理：世界上最最抓心挠肝的事情，莫过于三缺一。"
"93","一大学生去爬山，刚走没多远，就累的走不动了，他便问卖饮料的小贩：“请问还有远到山顶啊？”小贩鄙视的看了他一眼，说：“你买了180元的门票，这才爬了不到5块钱的山，你说还有多远？”"
"94","有个冰淇淋去应聘面试，考官问他：你在学校里什么科目学得最好啊？冰淇淋想了半天，冷汗直流，小声答道：化，化学。"
"95","晚上下班，我骑着自行车正急急忙忙往家赶，突然发现前面一个美女推着自行车边走边打电话，我走近一看原来是我们单位的美女小丽，能与美女同行是何等荣幸啊！想必她的自行车一定是坏了，不然这么冷的天怎么推着车走呢？于是我把自己的车气门芯拔掉，紧追两步赶上她，正准备和她搭讪，没想到人家挂了电话骑上车子就跑了。这大冷的天。。。我走了近1小时才到家。"
"96","早上起床，我问老婆：“我的袜子怎么一只也找不到了。”老婆提着几只袜子道：“我怎么找到的全都是一只的呢？”"
"97","一天早上，一位先生在湖边钓鱼，他等呀等，鱼就是不上钩。到了下午，他肚子有点饿了，就到附近的餐馆吃东西。先生：“你们这有什么东西吃？”服务员：“有糖醋鱼、红烧鱼、干炸鱼、清蒸鱼，还有……”那位先生自言自语地说：“怪不得湖里没鱼呢１"
"98","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"99","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"100","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"101","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"102","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"103","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"104","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"105","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"106","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"107","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"108","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
"109","酱油和醋打架了，引来了一群围观者，醋得意洋洋地说：“哈哈我的兄弟都来帮我了１酱油不屑地说：“谁说他们是来帮你的呀？”醋说：“他们都是来打酱油的，你说他们帮谁？”"
